gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	diff_pct
PIK3CA	0.00631467605525271	0.702591228122037	0.4	0.079	1	B cells	0.321
RELL1	0.00641471995607205	0.603719492002117	0.4	0.075	1	B cells	0.325
HEMK1	0.006524431544036	0.374250777632925	0.2	0.021	1	B cells	0.179
PGM5P2	0.00663128753255667	0.374014821476055	0.2	0.021	1	B cells	0.179
CLIP4	0.00663128753255667	0.373677379932147	0.2	0.021	1	B cells	0.179
JKAMP	0.00689050044205921	0.54487582199731	0.4	0.075	1	B cells	0.325
ZNF816	0.00696136100461822	0.366904271924196	0.2	0.021	1	B cells	0.179
SGPP1	0.00696136100461822	0.323889081561738	0.2	0.021	1	B cells	0.179
SYNJ1	0.00704058765993951	0.460186290754003	0.2	0.022	1	B cells	0.178
SLC1A5	0.00704058765993951	0.459098802218802	0.2	0.022	1	B cells	0.178
TRAM1L1	0.00704058765993951	0.445168698960677	0.2	0.022	1	B cells	0.178
GINS1	0.00704058765993951	0.440790551439816	0.2	0.022	1	B cells	0.178
ZNRF1	0.00726664748575125	0.455577992218835	0.2	0.022	1	B cells	0.178
SLC39A1	0.00730611727524616	0.325261757067858	0.2	0.021	1	B cells	0.179
SOCS2	0.00738210198542183	0.437069823478169	0.2	0.022	1	B cells	0.178
FBXO45	0.00749919932290496	0.376826230647963	0.2	0.022	1	B cells	0.178
SMARCD2	0.00761795957151915	0.373531264671696	0.2	0.022	1	B cells	0.178
LILRA2	0.0078605500559671	0.374391961483687	0.2	0.022	1	B cells	0.178
SLC39A9	0.0078605500559671	0.373026146552225	0.2	0.022	1	B cells	0.178
RBAK	0.00802794053611543	0.492681525023752	0.2	0.023	1	B cells	0.177
GYS1	0.00811003788174825	0.369251977225566	0.2	0.022	1	B cells	0.178
PRMT7	0.00811003788174825	0.329711714628261	0.2	0.022	1	B cells	0.178
ZNF316	0.00823742053806082	0.372625516153779	0.2	0.022	1	B cells	0.178
AP1G2	0.00827108785196931	0.619482244795419	0.4	0.08	1	B cells	0.32
SLC27A3	0.00827746606643234	0.471639140589264	0.2	0.023	1	B cells	0.177
GARS	0.00846424298889989	0.763772799865937	0.4	0.085	1	B cells	0.315
TSC22D2	0.00846913855836612	0.455011918286708	0.2	0.023	1	B cells	0.177
EFHC1	0.00853390841677211	0.46813837983449	0.2	0.023	1	B cells	0.177
EGLN1	0.00944420106375576	0.624315757088219	0.4	0.083	1	B cells	0.317
PUM1	0.00953676488772	0.726095382772425	0.4	0.087	1	B cells	0.313
NUP188	0.0096321603069687	0.371690323283891	0.2	0.023	1	B cells	0.177
SRFBP1	0.00987058456114437	0.667000924206867	0.4	0.086	1	B cells	0.314
STK38	0.000123108787744287	0.36245320213999	0.264	0.1	1	NK cells	0.164
PAGR1	0.000279018410010704	0.269438826249921	0.151	0.043	1	NK cells	0.108
ZMYM4	0.000355263016277538	0.328949069284952	0.264	0.109	1	NK cells	0.155
CXXC5	0.000699766333396496	0.333628970612091	0.245	0.104	1	NK cells	0.141
TRIM27	0.00152144687398172	0.271699550400268	0.226	0.093	1	NK cells	0.133
TFB2M	0.00157592020049567	0.262727251285233	0.17	0.062	1	NK cells	0.108
NDUFS6	0.00182934245660565	0.327291839390115	0.264	0.127	1	NK cells	0.137
TFRC	0.00191268167388484	0.305110635006637	0.321	0.158	1	NK cells	0.163
COLGALT1	0.00256093603391043	0.255390274354017	0.208	0.087	1	NK cells	0.121
HSP90B1	0.00400874990634695	-0.341540052228995	0.377	0.551	1	NK cells	-0.174
DAD1	0.0041187736222194	0.31068168187155	0.377	0.221	1	NK cells	0.156
RPS6KA3	0.00580534600164618	-0.331564437871519	0.038	0.192	1	NK cells	-0.154
ATM	0.00659875747588338	-0.335513990155709	0.019	0.151	1	NK cells	-0.132
SELENOS	0.00688318137677361	-0.317007996303676	0.038	0.183	1	NK cells	-0.145
ESYT2	0.00692673423503721	-0.307804310880916	0.019	0.156	1	NK cells	-0.137
MCPH1	0.00705893959031047	-0.302310953753265	0.019	0.151	1	NK cells	-0.132
YWHAB	0.00714435577561438	0.26963776875347	0.642	0.482	1	NK cells	0.16
OLA1	0.00742924252205783	-0.31447331832278	0.057	0.206	1	NK cells	-0.149
WASHC4	0.00753302246249029	0.28036802849181	0.283	0.151	1	NK cells	0.132
ILF2	0.00785193206825231	-0.30723977183906	0.038	0.18	1	NK cells	-0.142
CSPP1	0.00951099341045082	-0.272222464796827	0.019	0.149	1	NK cells	-0.13
PDE5A	8.65614969740544e-22	0.325113176049381	0.167	0.002	2.41497920407914e-17	T cells, CD8+	0.165
ZNF775	1.00520314355637e-12	0.416435391762715	0.167	0.004	2.8044162502079e-08	T cells, CD8+	0.163
SLC2A14	2.85366872007107e-11	0.366004622081373	0.167	0.005	7.96145036212629e-07	T cells, CD8+	0.162
CRADD	7.69116945058914e-11	0.453835506383258	0.25	0.013	2.14575936501986e-06	T cells, CD8+	0.237
ADAL	2.10189990751154e-10	0.47237507355346	0.25	0.014	5.86409055196645e-06	T cells, CD8+	0.236
RAB39B	3.96526641630897e-09	0.31351556437588	0.167	0.007	0.000110626967748604	T cells, CD8+	0.16
IPCEF1	8.6650524735269e-09	0.406893844761274	0.25	0.017	0.000241746298958927	T cells, CD8+	0.233
FOXO1	2.16132214686009e-08	0.411184308779853	0.167	0.008	0.000602987265752496	T cells, CD8+	0.159
GNLY	2.36513301489671e-08	0.456879335086628	0.167	0.008	0.000659848459826032	T cells, CD8+	0.159
SIGLEC16	2.43712577299618e-08	0.366155975492697	0.167	0.008	0.000679933719408205	T cells, CD8+	0.159
LNX2	9.41800773115957e-08	0.37037156710258	0.167	0.009	0.00262752997691621	T cells, CD8+	0.158
MPIG6B	1.11055613488469e-07	0.308653900727826	0.167	0.009	0.00309834056071479	T cells, CD8+	0.158
TPI1P3	3.45325910125981e-07	0.363110325193969	0.167	0.01	0.00963424756660476	T cells, CD8+	0.157
MSMO1	3.63271669927379e-07	0.38152519608887	0.167	0.01	0.0101349163193039	T cells, CD8+	0.157
SETD1B	7.59308785064153e-07	0.452447360792095	0.25	0.023	0.0211839557945048	T cells, CD8+	0.227
DTWD2	9.37257199084159e-07	0.412874493320622	0.167	0.011	0.026148538597249	T cells, CD8+	0.156
C19orf24	1.18526784808451e-06	0.316078378496551	0.167	0.011	0.0330677876937097	T cells, CD8+	0.156
NKRF	1.23306303459664e-06	0.461717496737893	0.25	0.024	0.0344012256022117	T cells, CD8+	0.226
SH3TC1	1.30121163239243e-06	0.299251195595524	0.167	0.011	0.0363025033321165	T cells, CD8+	0.156
ST3GAL2	1.66170491008229e-06	0.495418444339845	0.25	0.025	0.0463599052863859	T cells, CD8+	0.225
SNRK	2.62084884835336e-06	0.6159247747617	0.333	0.045	0.0731190620202103	T cells, CD8+	0.288
PDLIM7	3.38077524880297e-06	0.270628792076723	0.167	0.012	0.0943202486663542	T cells, CD8+	0.155
UPP1	1.13541661649118e-05	0.438996666886269	0.25	0.028	0.316769881834873	T cells, CD8+	0.222
SEPT8	2.41617950283517e-05	0.361901656292935	0.167	0.014	0.674089919495983	T cells, CD8+	0.153
KANK1	3.72937706412801e-05	0.358342561254583	0.167	0.015	1	T cells, CD8+	0.152
CHRNA5	4.20785302373363e-05	0.375627330271506	0.167	0.015	1	T cells, CD8+	0.152
MARCH2	5.25489922749322e-05	0.304397009176789	0.167	0.015	1	T cells, CD8+	0.152
NBEAL1	5.25489922749322e-05	0.299666616156157	0.167	0.015	1	T cells, CD8+	0.152
SLC19A2	6.395988811473e-05	0.440832765260026	0.167	0.016	1	T cells, CD8+	0.151
CEP162	7.70553856257529e-05	0.468013360142733	0.25	0.035	1	T cells, CD8+	0.215
FYN	7.77908276625742e-05	0.352026709342322	0.167	0.016	1	T cells, CD8+	0.151
PPM1K	7.78551508261176e-05	0.552073726931725	0.333	0.059	1	T cells, CD8+	0.274
MAPKBP1	8.16663597606424e-05	0.344374867828829	0.167	0.016	1	T cells, CD8+	0.151
MAP1S	8.71182157102572e-05	0.272462142519184	0.167	0.016	1	T cells, CD8+	0.151
RARS2	8.79913081974896e-05	0.612648740285027	0.417	0.09	1	T cells, CD8+	0.327
EZH1	0.000102022831426041	0.401547872177085	0.25	0.035	1	T cells, CD8+	0.215
AK9	0.00010643369453668	0.435032134176732	0.25	0.036	1	T cells, CD8+	0.214
DCP1B	0.00010761091882359	0.403987343909942	0.167	0.017	1	T cells, CD8+	0.15
CDC34	0.000109297800033808	0.379851941339287	0.167	0.017	1	T cells, CD8+	0.15
ACVR1B	0.000111009607088859	0.375705219823204	0.167	0.017	1	T cells, CD8+	0.15
FUOM	0.000118113025967677	0.351282401120615	0.167	0.017	1	T cells, CD8+	0.15
NLRC3	0.000133624924817637	0.309389564606445	0.167	0.017	1	T cells, CD8+	0.15
TLR5	0.000137792501705519	0.297756291060209	0.167	0.017	1	T cells, CD8+	0.15
LINC00963	0.000197341495234776	0.30630419343006	0.167	0.018	1	T cells, CD8+	0.149
AES	0.000198994553105131	0.525082500323717	0.333	0.064	1	T cells, CD8+	0.269
CHFR	0.000207907078058626	0.402321141614746	0.25	0.038	1	T cells, CD8+	0.212
SYTL3	0.000215462470388341	0.292261975662642	0.167	0.018	1	T cells, CD8+	0.149
ASF1A	0.000228041841645395	0.572244768255136	0.417	0.098	1	T cells, CD8+	0.319
SH3PXD2A	0.000240260885902882	0.526497178751688	0.25	0.04	1	T cells, CD8+	0.21
KLRK1	0.00027416444977031	0.413797119946917	0.167	0.019	1	T cells, CD8+	0.148
PEMT	0.00027416444977031	0.318697000857185	0.167	0.019	1	T cells, CD8+	0.148
CDK5	0.000281985756426416	0.30752806425419	0.167	0.019	1	T cells, CD8+	0.148
SNX15	0.000319839420450228	0.309524352145651	0.167	0.019	1	T cells, CD8+	0.148
KIF16B	0.000338146493712737	0.319700700546283	0.167	0.019	1	T cells, CD8+	0.148
SLC15A4	0.000341906196694722	0.455727610723478	0.167	0.02	1	T cells, CD8+	0.147
ERMP1	0.000472182062373368	0.280370546764311	0.167	0.02	1	T cells, CD8+	0.147
RABEPK	0.000472182062373368	0.263501676937739	0.167	0.02	1	T cells, CD8+	0.147
ZNF696	0.000522953671803857	0.352187331663382	0.167	0.02	1	T cells, CD8+	0.147
POLR1B	0.000529769879076664	0.348561472954404	0.167	0.02	1	T cells, CD8+	0.147
CDC23	0.000554583589203071	0.431890779712777	0.25	0.043	1	T cells, CD8+	0.207
MT1G	0.000557871102796394	0.333950069182264	0.167	0.02	1	T cells, CD8+	0.147
INPP4A	0.000626251548570354	0.309604004332851	0.167	0.02	1	T cells, CD8+	0.147
C6orf120	0.000668678598806781	0.541186772621625	0.25	0.045	1	T cells, CD8+	0.205
KIAA1191	0.000794484599525912	0.452025915866489	0.25	0.046	1	T cells, CD8+	0.204
ITPRIP	0.000803340053562187	0.332622701979165	0.167	0.021	1	T cells, CD8+	0.146
CD2AP	0.000814534976817385	0.537874168548345	0.333	0.077	1	T cells, CD8+	0.256
LOC101927497	0.0008255382910765	0.435846027383392	0.167	0.022	1	T cells, CD8+	0.145
AIFM1	0.000854263371357094	0.499557746855639	0.333	0.077	1	T cells, CD8+	0.256
NDST2	0.000897250920316988	0.28643586860676	0.167	0.021	1	T cells, CD8+	0.146
TMEM165	0.00113910295508804	0.672502944955906	0.417	0.129	1	T cells, CD8+	0.288
XYLT1	0.00119462421109509	0.263567249094425	0.167	0.022	1	T cells, CD8+	0.145
TMEM134	0.00122302345382491	0.274459767775231	0.167	0.022	1	T cells, CD8+	0.145
RAD51	0.0012267378101788	0.383248778542429	0.167	0.023	1	T cells, CD8+	0.144
ZBED6	0.00125532358499534	0.359106918339315	0.167	0.023	1	T cells, CD8+	0.144
ZFP36L1	0.00130233292702814	0.572131006253319	0.333	0.082	1	T cells, CD8+	0.251
VPS26B	0.00132950007594618	0.355846926383335	0.167	0.023	1	T cells, CD8+	0.144
UNKL	0.00132950007594618	0.329259757884255	0.167	0.023	1	T cells, CD8+	0.144
ABHD17B	0.00134481231427676	0.320200464094687	0.167	0.023	1	T cells, CD8+	0.144
FBXO42	0.0015243240806688	0.26009308580728	0.167	0.023	1	T cells, CD8+	0.144
MEFV	0.00154169251042322	0.297150629714485	0.167	0.023	1	T cells, CD8+	0.144
FPGT	0.00155176017221922	0.437802303621974	0.167	0.024	1	T cells, CD8+	0.143
IL2RG	0.00156025118936855	0.474087428954496	0.333	0.08	1	T cells, CD8+	0.253
BLVRB	0.00173760501258705	0.45641952154976	0.333	0.08	1	T cells, CD8+	0.253
CCDC88B	0.00185187845596766	0.390380553963821	0.167	0.025	1	T cells, CD8+	0.142
ZG16B	0.00199914726225805	0.290136761350212	0.167	0.024	1	T cells, CD8+	0.143
TMEM57	0.0020488242979292	0.421776068521565	0.25	0.052	1	T cells, CD8+	0.198
LRRC34	0.00215188413225146	0.333041866175835	0.167	0.025	1	T cells, CD8+	0.142
CDS2	0.00216066401867217	0.415029225097662	0.25	0.052	1	T cells, CD8+	0.198
CBR4	0.00229531768573728	0.415933890177972	0.25	0.052	1	T cells, CD8+	0.198
GNG7	0.00235409496229361	0.434363576836964	0.25	0.052	1	T cells, CD8+	0.198
TUFM	0.0024142209837307	0.604188048982673	0.5	0.182	1	T cells, CD8+	0.318
FAM193B	0.0024438241384921	0.311471176720297	0.167	0.025	1	T cells, CD8+	0.142
HTT	0.0025222636574887	0.293234763510054	0.167	0.025	1	T cells, CD8+	0.142
CES2	0.00257582894682653	0.272100343302192	0.167	0.025	1	T cells, CD8+	0.142
PRCP	0.00271182634577224	0.509658487622248	0.25	0.055	1	T cells, CD8+	0.195
EIF3J-AS1	0.00298067793622819	0.30337387042044	0.167	0.026	1	T cells, CD8+	0.141
KLF3	0.00298101609776277	0.509149960373532	0.333	0.089	1	T cells, CD8+	0.244
PDE7A	0.00298755342657262	0.431105196336169	0.333	0.085	1	T cells, CD8+	0.248
AP4E1	0.00304206474443323	0.292121556492815	0.167	0.026	1	T cells, CD8+	0.141
CARM1	0.00307318859083164	0.27859434947754	0.167	0.026	1	T cells, CD8+	0.141
GFI1	0.00309440103035199	0.349664634565712	0.167	0.027	1	T cells, CD8+	0.14
SLC35A5	0.00309440103035199	0.330613446217568	0.167	0.027	1	T cells, CD8+	0.14
SIKE1	0.00310233569300632	0.451930347981655	0.333	0.086	1	T cells, CD8+	0.247
C5AR1	0.00316005842331495	0.387821385806737	0.25	0.052	1	T cells, CD8+	0.198
SRPRA	0.00333171606713574	0.580511889810967	0.333	0.096	1	T cells, CD8+	0.237
YTHDC2	0.00333945315760391	0.462818400804451	0.25	0.056	1	T cells, CD8+	0.194
CBX4	0.00345285011366468	0.287269353043533	0.167	0.027	1	T cells, CD8+	0.14
PNP	0.00346174332627372	0.367669043453971	0.167	0.028	1	T cells, CD8+	0.139
SPRY2	0.00350519297954767	0.532937550246884	0.25	0.058	1	T cells, CD8+	0.192
KYAT3	0.00359940506543569	0.393378905771957	0.167	0.028	1	T cells, CD8+	0.139
NCK1-AS1	0.003627949057206	0.313087661463872	0.167	0.027	1	T cells, CD8+	0.14
POC1B	0.00370022156904696	0.288539412806301	0.167	0.027	1	T cells, CD8+	0.14
SRSF8	0.00376083572509583	0.386447815598072	0.25	0.055	1	T cells, CD8+	0.195
VRK3	0.00381525056855944	0.337551640353021	0.167	0.028	1	T cells, CD8+	0.139
TBC1D1	0.00382481948139832	0.499914517413849	0.333	0.095	1	T cells, CD8+	0.238
TTBK2	0.0040818942184427	0.398824422496616	0.167	0.028	1	T cells, CD8+	0.139
ELOVL1	0.00416112496926684	0.302317044764825	0.167	0.028	1	T cells, CD8+	0.139
IMPAD1	0.0042107631840884	0.437345075516701	0.333	0.092	1	T cells, CD8+	0.241
FEM1C	0.00428258927453002	0.312450033329332	0.167	0.028	1	T cells, CD8+	0.139
EGLN2	0.00440725909626498	0.288377682527403	0.167	0.028	1	T cells, CD8+	0.139
ITM2C	0.00446058762033006	0.497572321466251	0.333	0.097	1	T cells, CD8+	0.236
KIAA0040	0.00462237177977563	0.261447721720637	0.167	0.028	1	T cells, CD8+	0.139
MYSM1	0.00463366170953402	0.510474579959143	0.417	0.138	1	T cells, CD8+	0.279
ZNF354A	0.00475793152136288	0.323195311930077	0.167	0.028	1	T cells, CD8+	0.139
MRPL37	0.00496191564497884	0.305582181266504	0.167	0.028	1	T cells, CD8+	0.139
DOK2	0.00515990264961311	0.519025766515217	0.417	0.14	1	T cells, CD8+	0.277
CTBP2	0.00538204802983241	0.483942730495912	0.333	0.095	1	T cells, CD8+	0.238
IL18	0.00543707104155027	0.473195047255441	0.333	0.094	1	T cells, CD8+	0.239
AP3B1	0.00544057072223884	0.550362113718216	0.417	0.144	1	T cells, CD8+	0.273
EIF3E	0.00549059162662903	0.478016019586039	1	0.668	1	T cells, CD8+	0.332
PLCB1	0.00554984879260395	0.364574313075128	0.167	0.029	1	T cells, CD8+	0.138
HIPK2	0.00557306805495975	0.414692402829244	0.25	0.06	1	T cells, CD8+	0.19
SAMD8	0.00565147592551484	0.363531988220623	0.167	0.029	1	T cells, CD8+	0.138
GDE1	0.0056940485126551	0.482563534671157	0.25	0.063	1	T cells, CD8+	0.187
BCKDHB	0.00570291861035164	0.340957782677841	0.167	0.029	1	T cells, CD8+	0.138
NPEPL1	0.00580707171315714	0.315307081362278	0.167	0.029	1	T cells, CD8+	0.138
GTF2H5	0.00589985838096361	0.489614943938631	0.417	0.141	1	T cells, CD8+	0.276
RAVER2	0.0059665170463192	0.322541116716067	0.167	0.029	1	T cells, CD8+	0.138
MAN2B2	0.0059665170463192	0.311311259256059	0.167	0.029	1	T cells, CD8+	0.138
FAM76A	0.00607499447677236	0.307481358576995	0.167	0.029	1	T cells, CD8+	0.138
NOC2L	0.00607499447677236	0.300586050561787	0.167	0.029	1	T cells, CD8+	0.138
C11orf57	0.00608354287149966	0.395938412455554	0.25	0.06	1	T cells, CD8+	0.19
TTC21B	0.00620608189354882	0.352017727310434	0.25	0.058	1	T cells, CD8+	0.192
PIGG	0.00635400125831826	0.259804855239855	0.167	0.029	1	T cells, CD8+	0.138
TRIOBP	0.00646879563259009	0.271639869965384	0.167	0.029	1	T cells, CD8+	0.138
TCAF1	0.00650633791228663	0.371631701186869	0.167	0.03	1	T cells, CD8+	0.137
TCF3	0.00650929177824244	0.351121491861622	0.25	0.06	1	T cells, CD8+	0.19
RPS7P5	0.00691928995564218	0.312408377089379	0.167	0.03	1	T cells, CD8+	0.137
LOC101927284	0.00706194402755366	0.362532556471935	0.167	0.031	1	T cells, CD8+	0.136
BAALC	0.00724496993103166	0.560576953822023	0.5	0.206	1	T cells, CD8+	0.294
RNU5A-1	0.00737264433702521	0.315780352943027	0.167	0.031	1	T cells, CD8+	0.136
STRADB	0.00741994691567084	0.291229836093059	0.167	0.03	1	T cells, CD8+	0.137
POMC	0.00750031987326948	0.31559488408107	0.167	0.031	1	T cells, CD8+	0.136
RPL21P28	0.00764655090206064	0.499187140547776	0.75	0.437	1	T cells, CD8+	0.313
CPSF7	0.00770796535893196	0.425399628399633	0.25	0.063	1	T cells, CD8+	0.187
UQCRC1	0.00772720967685085	0.445465969909333	0.417	0.14	1	T cells, CD8+	0.277
SASS6	0.00809133071219997	0.255536943239244	0.167	0.03	1	T cells, CD8+	0.137
CDC42SE1	0.00830257380665782	0.49944679671317	0.5	0.195	1	T cells, CD8+	0.305
METTL23	0.00839793327283614	0.39551792273928	0.25	0.064	1	T cells, CD8+	0.186
ZNF800	0.00847104888907553	0.447207635918437	0.25	0.065	1	T cells, CD8+	0.185
ARHGAP18	0.00877193309677378	0.557278448315641	0.25	0.068	1	T cells, CD8+	0.182
NSMCE1	0.00877607399738526	0.455789028165482	0.333	0.103	1	T cells, CD8+	0.23
TSTA3	0.00894958662899556	0.341514215605767	0.167	0.032	1	T cells, CD8+	0.135
SNORA57	0.00902424752289465	0.319004536207022	0.167	0.032	1	T cells, CD8+	0.135
AGPAT3	0.00904129669773278	0.304794129007065	0.167	0.031	1	T cells, CD8+	0.136
FBXO41	0.00925157829125972	0.31675304488327	0.167	0.032	1	T cells, CD8+	0.135
SLC30A7	0.00933706696827055	0.35443626824643	0.25	0.063	1	T cells, CD8+	0.187
UBE2E1	0.00945232401209541	0.487890091566829	0.417	0.155	1	T cells, CD8+	0.262
HERC1	0.00957906295463788	0.540857567080765	0.333	0.108	1	T cells, CD8+	0.225
URM1	0.00968152430782172	0.351131976789129	0.167	0.033	1	T cells, CD8+	0.134
ATG4B	0.00984025983701309	0.365877907783418	0.167	0.033	1	T cells, CD8+	0.134
MROH7	2.92015651181414e-26	0.316531491693674	0.1	0	8.14694465231026e-22	T cells, CD4+	0.1
KALRN	2.92015651181414e-26	0.288334803986297	0.1	0	8.14694465231026e-22	T cells, CD4+	0.1
LOC389247	2.92015651181414e-26	0.267600781954572	0.1	0	8.14694465231026e-22	T cells, CD4+	0.1
PPEF2	2.92015651181414e-26	0.267600781954572	0.1	0	8.14694465231026e-22	T cells, CD4+	0.1
USP30-AS1	1.0070748806451e-13	0.31219834207567	0.1	0.001	2.80963820951176e-09	T cells, CD4+	0.099
IPO9-AS1	1.0070748806451e-13	0.26546086664801	0.1	0.001	2.80963820951176e-09	T cells, CD4+	0.099
LINC00471	1.11393000119829e-13	0.264743712731904	0.1	0.001	3.10775331034312e-09	T cells, CD4+	0.099
LOC729218	2.43129429390212e-13	0.463460350627715	0.2	0.005	6.78306795055754e-09	T cells, CD4+	0.195
USP30	5.79279342955851e-10	0.494983835007457	0.2	0.008	1.61613143891253e-05	T cells, CD4+	0.192
SNHG12	1.30494557929738e-09	0.676544962631792	0.4	0.034	3.64066767168177e-05	T cells, CD4+	0.366
LOC100128239	1.65615505203588e-09	0.312926224936961	0.1	0.002	4.6205069796749e-05	T cells, CD4+	0.098
LINC01424	1.65615505203588e-09	0.264506815164583	0.1	0.002	4.6205069796749e-05	T cells, CD4+	0.098
LINC02551	1.65615505203588e-09	0.264138371911845	0.1	0.002	4.6205069796749e-05	T cells, CD4+	0.098
ACOT2	1.53860722051195e-08	0.513582501088021	0.2	0.01	0.000429256028450629	T cells, CD4+	0.19
SUV39H1	2.21216308568895e-07	0.333783574117768	0.1	0.003	0.00617171379276361	T cells, CD4+	0.097
XYLB	2.21216308568895e-07	0.264896690794285	0.1	0.003	0.00617171379276361	T cells, CD4+	0.097
ASNSP1	2.21216308568895e-07	0.260965624355721	0.1	0.003	0.00617171379276361	T cells, CD4+	0.097
LINC01063	2.32685872826727e-07	0.280234079745095	0.1	0.003	0.00649170316599286	T cells, CD4+	0.097
SMIM17	2.32685872826727e-07	0.260911507991447	0.1	0.003	0.00649170316599286	T cells, CD4+	0.097
DEF8	1.09933212266975e-06	0.520213029219158	0.2	0.013	0.0306702668903633	T cells, CD4+	0.187
ADPGK-AS1	4.2721676661871e-06	0.312160435385284	0.1	0.004	0.119189205718954	T cells, CD4+	0.096
LINC00654	4.2721676661871e-06	0.310169734347956	0.1	0.004	0.119189205718954	T cells, CD4+	0.096
USP21	4.4486603603898e-06	0.293842711661722	0.1	0.004	0.124113175394515	T cells, CD4+	0.096
CCNYL1	1.35729628489115e-05	0.549351439912223	0.2	0.017	0.378672090521781	T cells, CD4+	0.183
TRAF3IP1	1.38321655440762e-05	0.553602144456045	0.2	0.017	0.385903586514181	T cells, CD4+	0.183
LARP4	1.65051906406564e-05	0.734008905308868	0.4	0.067	0.460478313683674	T cells, CD4+	0.333
ADCY7	1.69438515884786e-05	0.577505841728765	0.3	0.037	0.472716515466963	T cells, CD4+	0.263
F2RL2	3.12392444649706e-05	0.30545124310329	0.1	0.004	0.871543681328215	T cells, CD4+	0.096
CABLES1	3.12392444649706e-05	0.303578777370199	0.1	0.004	0.871543681328215	T cells, CD4+	0.096
ZNF891	3.12392444649706e-05	0.301041492263471	0.1	0.004	0.871543681328215	T cells, CD4+	0.096
PEX11A	3.12392444649706e-05	0.261908680383866	0.1	0.004	0.871543681328215	T cells, CD4+	0.096
ARHGEF12	3.231210541344e-05	0.259181680483648	0.1	0.004	0.901475428929561	T cells, CD4+	0.096
CDYL2	3.231210541344e-05	0.259048247329828	0.1	0.004	0.901475428929561	T cells, CD4+	0.096
WDR25	3.34199119788326e-05	0.276567860951641	0.1	0.004	0.932382124297451	T cells, CD4+	0.096
SHQ1	3.57897465187868e-05	0.51497033258858	0.2	0.019	0.998498138127633	T cells, CD4+	0.181
SLC52A2	4.25057959862981e-05	0.468940122044267	0.2	0.019	1	T cells, CD4+	0.181
PPP5C	4.79007357694679e-05	0.377982278451328	0.2	0.019	1	T cells, CD4+	0.181
UBXN2B	4.99023114346712e-05	0.594733878917305	0.3	0.042	1	T cells, CD4+	0.258
GTDC1	5.99785122075106e-05	0.530954334208639	0.2	0.02	1	T cells, CD4+	0.18
SH2B1	6.61915521769176e-05	0.427860760792146	0.2	0.02	1	T cells, CD4+	0.18
CCAR2	8.04898489673957e-05	0.403208454769106	0.2	0.02	1	T cells, CD4+	0.18
FOPNL	8.55217413743471e-05	0.610105728159254	0.4	0.073	1	T cells, CD4+	0.327
TMEM268	0.000104359736823398	0.428866077334273	0.2	0.02	1	T cells, CD4+	0.18
SNORD22	0.000130827884724329	0.34847364269692	0.1	0.005	1	T cells, CD4+	0.095
FRAT2	0.000130827884724329	0.290897149923163	0.1	0.005	1	T cells, CD4+	0.095
SEMA4C	0.000130827884724329	0.276408941526417	0.1	0.005	1	T cells, CD4+	0.095
RPTOR	0.00013467306812487	0.256698179914934	0.1	0.005	1	T cells, CD4+	0.095
ZNF316	0.00014305590744379	0.422326520949602	0.2	0.021	1	T cells, CD4+	0.179
TTF1	0.000148252160751379	0.56044208063508	0.3	0.046	1	T cells, CD4+	0.254
GINS1	0.000156576834615704	0.406099955396949	0.2	0.021	1	T cells, CD4+	0.179
POLR3F	0.000212193429555731	0.399974492079139	0.2	0.022	1	T cells, CD4+	0.178
FIP1L1	0.000226252530995611	0.71369614452193	0.5	0.126	1	T cells, CD4+	0.374
BRI3BP	0.000241272211326358	0.518573382056202	0.2	0.023	1	T cells, CD4+	0.177
DUS3L	0.000252206354319214	0.360033727694372	0.2	0.022	1	T cells, CD4+	0.178
PNPLA8	0.000285130768630407	0.733125318094323	0.4	0.087	1	T cells, CD4+	0.313
FXN	0.000361346086158125	0.359304097038573	0.2	0.023	1	T cells, CD4+	0.177
FRMD4A	0.000386167551953287	0.300716667631112	0.1	0.006	1	T cells, CD4+	0.094
ABHD15	0.000386167551953287	0.273243442977932	0.1	0.006	1	T cells, CD4+	0.094
CCT6B	0.000396088237969141	0.25781711853601	0.1	0.006	1	T cells, CD4+	0.094
MAP3K14	0.000406246651502181	0.251273255093292	0.1	0.006	1	T cells, CD4+	0.094
UBL7-AS1	0.000463143225118827	0.442014497619622	0.2	0.025	1	T cells, CD4+	0.175
LINC00869	0.000463999009942372	0.512511039059085	0.3	0.052	1	T cells, CD4+	0.248
GFM1	0.000532658575169251	0.628191617900045	0.4	0.091	1	T cells, CD4+	0.309
CTCF	0.000543005234057793	0.577754009230799	0.4	0.087	1	T cells, CD4+	0.313
DMXL1	0.000582018754853189	0.695177783212029	0.4	0.095	1	T cells, CD4+	0.305
EAPP	0.000622998301013151	0.666837266589711	0.5	0.136	1	T cells, CD4+	0.364
UBE2H	0.000679338222916949	0.424139162296922	0.2	0.026	1	T cells, CD4+	0.174
DNAJC4	0.000705343279869487	0.353453264311741	0.2	0.026	1	T cells, CD4+	0.174
NIT1	0.00090186956470805	0.340927518293654	0.1	0.007	1	T cells, CD4+	0.093
CNKSR2	0.000922449034916147	0.269699560200919	0.1	0.007	1	T cells, CD4+	0.093
LINC00167	0.000943462906609909	0.253310765102302	0.1	0.007	1	T cells, CD4+	0.093
